時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
93/3,87927,,,,,,526,27,
93/12,89506,,,,,20725,622,17,
94/12,93962,,,,,15769,493,2,
95/9,90432,,,,,14547,276,23,
95/6,92145,,,,,15095,308,34,
95/12,89004,,,,,14516,258,29,
95/3,89846,,,,,14822,384,17,
94/9,90596,,,,,18381,538,22,
94/6,88863,,,,,19212,550,14,
94/3,90036,,,,,20085,677,9,
