時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
110/12,31976,,,,,,,,
110/9,21639,,,,,,,,
110/6,10523,,,,,,,,
111/12,55492,735,,,,,,,
110/3,9146,,,,,,,,
111/3,41967,,,,,,,,
111/6,51207,292,,,,,,,
111/9,52064,582,,,,,,,
112/9,66417,1335,,,,,,,
112/3,60752,1071,,,,,,,
112/6,61758,1219,,,,,,,
